text,sentiment
Britain's FTSE advances as Royal Mail rises,3
CompaniesTesco sheds Harris & Hoole coffee shops,3
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,3
Fitch: Citi's 1Q'15 Reports Much Improved Results,3
Landlord Hammerson's NAV rises on increased leasing activity,4
CompaniesMetro Bank raises Â£400m ahead of London listing,3
New Morrisons duo get former boss's support to diffuse investor tension,2
WPP Q1 Revenue Rises Over 8% - Quick Facts,4
Barclays raises 603 million pounds from African business share sale,3
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,1
Dividends Unleashed At Royal Bank of Scotland Group plc,3
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",2
"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",3
RBS and Barclays shares temporarily suspended amid heavily losses,0
BP sees Q1 earnings slide as low oil prices take their toll,1
Johnson Matthey revs up on clean air drive,3
Tesco boss urges rethink on minimum wage and business rates,2
Is It Worth Investing In Tesco PLC And Prudential plc Now?,2
RBS will reportedly appoint Howard Davies as its next chairman,2
UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans,1
Petrofac books further Â£30m cost for Shetland gas terminal delays,1
G4S suspends workers at UK youth centre over allegations of unnecessary force,1
TalkTalk hires BAE Systems to investigate cyber attack,3
Osborne extends Lloyds sell-off plan,1
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,0
CompaniesLord Livingston joins Dixons Carphone,3
Tesco names Deloitte as new auditor after accounting scandal,3
World's banks may halve jobs and branches within 10 years - Barclays ex-boss,1
Severn Trent share price rises as first half profit inches up as customer ...,3
Clinigen chosen by AstraZeneca to manage access programme for next ...,3
Valeant's Pearson says timing of return uncertain,2
Aviva suspends trading in Â£1.8bn UK property fund,0
Horizonte acquires neighbouring Glencore nickel property in Brazil,2
Indy future in doubt as Johnston Press lines up deal for 'i',2
Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,3
"BHP Billiton half-year profit falls, beats forecasts",2
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,3
Barclays to speed up cost-cuts after new mis-selling hit,1
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",2
HSBC Hit by Fresh Details of Tax Evasion Claims,1
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",2
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",3
Wolseley says Nicholls won't join as finance chief,2
UK lawmakers warn Royal Mail against further price hikes,2
StanChart and RBS struggle in Bank of England stress tests,1
StanChart may see white knight takeover on painful recovery - CLSA,2
AstraZeneca suffers setback after drug fails to treat eye cancer,1
News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,0
Retail giant Kingfisher reports 'solid' start to the year,3
Unilever Continues to Battle Soft Demand,1
Fresnillo Production Surges But Profit Hit By Lower Prices,3
Helge Lund moves to BG a month early,2
"Tesco set to sell Kipa, Giraffe businesses - Sky News",2
"RBS warns of higher misconduct charges, obstacles ahead",1
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",3
Standard Life slips as Greek worries peg back Britain's FTSE,1
Glencore sells agri unit stake for $2.5 billion to Canadian pension fund,3
FCA bans former RBS Libor submitter,1
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,2
Standard Chartered Not Raising Capital Yet As Dividend Cut,2
"Tesco set to sell Kipa, Giraffe businesses - Sky News",3
United Utilities FY profit up 3.5%; to boost capex,3
Sale of Tesco's Clubcard business to WPP on the verge of collapse,1
UK's Osborne may sell state-owned RBS shares at a loss -paper,1
Tesco Sale Is Asia's Biggest Private-Equity Deal,3
Industry NewsWolseley confident in reslilience amid mixed markets,3
Japan's Nikkei lands Financial Times in $1.3 billion deal,3
UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG,2
UK regulators license BAT e-cigarette as quit-smoking medicine,3
"Aviva, M&G suspend property funds as investors panic",0
British American Tobacco drops and sues PwC over pollution scandal,1
Aberdeen's shares slide as net outflows accelerate,1
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,3
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",2
Standard Chartered share price: Aberdeen CEO would back potential capital increase,2
Severn Trent share price jumps as Canadian investor renews pursuit of utility,3
France raises concerns over proposed LSE-Deutsche Boerse deal,1
Bunzl blames weakness in United States for first-half revenue slowdown,1
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,1
Tushar Morzaria is bookies' favourite to be new Barclays chief executive,2
CompaniesG4S claims 'positive' start to the year,3
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",2
Shares in BAE Systems hit 10-month high on rating upgrade,4
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,3
Royal Dutch Shell plc: Shell Updates on Alaska Exploration,2
City spirits sink after Diageo comes up short with sales slide,1
Tesco sales recover as focus returns to core business,3
London Stock Exchange unit in talks to operate Plato venue,2
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,3
GSK joins China trade push as UK trumpets healthcare deals,3
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",2
HSBC marks muted 150th birthday party with grain of rice sculptures,2
Barclays appoints JPMorgan's Paul Compton as new COO,2
Standard Chartered Shares Jump Most Since '12 After Upgrades,4
Italy Probes Shell's Role in Purchase of Nigerian Oil Block,1
Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers,1
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,2
Randgold profit hit by poor gold price but dividend still increases,2
AstraZeneca does US$770mln anaesthetic deal,3
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,1
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,4
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,2
Pearson to cut 4000 jobs as it warns on profits,0
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",2
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,2
"Intertek Hit By Pound Strength, Oil & Gas Slowdown; Still Ups Dividend",1
Tesco says recovery plan working after profit collapse,3
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,3
Shell and BG Shareholders to Vote on Deal at End of January,2
"Intercontinental Hotels, Starwood held early deal talks - FT",2
Warren Buffett's Berkshire Hathaway buys stake in Apple,3
Sunday Papers: Shire told to raise its offer by Baxalta investors,3
"Britain's FTSE bounces back, Mondi and Barratt lead",3
Glencore slashes 2015 capex budget as annual profits slip 2%,1
Anheuser-Busch InBev Increases Offer for Rival SABMiller,2
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,2
"UPDATE 2-Exchanges, Barclays win dismissal of US high-frequency trading case",3
MarketsUS industrials lag as Barclays dims view,1
Zurich Insurance Considering Offer for UK Rival RSA Insurance,3
US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline,0
AstraZeneca sells US gout drug rights to Ironwood for up to $265 million,3
"Shell, Chevron Await LNG's Return From `Pause Mode'",2
Companies raise less money on London Stock Exchange in 2015,2
Shell and BG Shareholders to Vote on Deal at End of January,2
Glencore shares rally after miner hits back,3
ABN Amro: Bank that brought down RBS poised for return to the market,3
Verizon and AT&T accused of hurting rivals,1
ARM swings to profit in fourth quarter,3
Johnson Matthey profit falls but dividend rises,2
Auto Trader share price surges as company floats on LSE,4
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,2
Hargreaves Landown slides on trading update,1
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",1
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",3
Shell Targets Gains From Brazil to LNG With Takeover of BG Group,3
Four former Barclays bankers jailed over Libor,0
Tesco Cut to Junk at Moody's on Concern Revival to Take Time,0
LPC-Glencore launches refinancing of $8.45billion loan,2
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",3
Easyjet targets business travellers with new perks,2
BP joins forces with Det Norske in Norway,3
Shire proposes $30 bln all-share tie-up with Baxalta,3
Tesco sales rise shows tentative recovery continues,3
Valeant Names Interim Leader as CEO Remains Hospitalized,2
AstraZeneca weighing up Acerta bid to secure blood cancer drug,3
BP asks for lower fine in penalty phase of Gulf spill trial,2
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,3
"Warren Buffett's Awesome Feat at Berkshire Hathaway, Revisited",2
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,3
SSE cuts gas prices by 4.1% to become fifth of 'Big Six' providers to slash energy ...,2
Silicon Fen' champion brings exacting approach to Rolls-Royce,2
Tesco Said to Discuss Central and Eastern European Unit Sale,3
Glencore launches refinancing of credit line,2
Should You Follow Berkshire Hathaway Into Apple Stock?,2
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,3
FDA approves Shire's Vyvanse for binge-eating disorder,3
Entertainment One dispels ITV takeover rumours,2
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",2
Oil Giant Shell to Cut Around 2800 Jobs Amid BG Takeover,1
BAE Systems banks on US defence spending to fix sales slide,2
UK Christmas power demand to be lowest in 16 years â€“ National Grid,1
CompaniesCompass serves up half year profit rise,3
UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,2
InterContinental Hotels Group share price climbs on $1.5bn special dividend,4
AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma,3
Amazon to attack UK grocery market with Morrisons deal,3
Tesco made a bit of a crucial error in this promotion for Ramadan...,1
"Falling oil prices hurt Hunting, Weir Group",1
Morning Agenda: Shire's Deal for NPS,2
AstraZeneca wins FDA approval for key new lung cancer pill,3
FCA set to fine Lloyds record Â£100m over PPI,0
"Barclays's Next CEO Should Be Investment Banker, Aberdeen Says",2
RBS and Barclays shares temporarily suspended amid heavily losses,0
Shire to buy NPS for $5.2 billion to boost rare disease drugs,3
Tesco's boardroom clearout continues,2
BHP Billiton says no settlement yet on Brazil dam disaster,2
Arm buoyed by race to build the internet of things,3
AstraZeneca diabetes drug combination faces delay after FDA rebuff,1
Amazon's grocery deal with Morrisons is only the beginning,3
BAE Systems's sales boosted by European Typhoon and currencies,3
CompaniesAberdeen Asset Mgt reports 10th consecutive quarterly outflows,0
Barclays CEO poaches risk head from JP Morgan,2
BP signs $12 billion energy deal in Egypt,3
Shire says internal synergy goals from Baxalta deal higher,3
WPP wins race for 'programmatic buying' agency Essence Digital,3
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,4
AstraZeneca investment eats into profit,2
"AstraZeneca bags another cancer drug deal, this time with Inovio",3
CompaniesCentrica shares drop 7% amid capital raise,1
Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,0
UPDATE 1-Britain's Tullow says makes new oil find in Kenya,3
Britain's power supplies enough to meet winter demand - National Grid,3
Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,3
UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake,2
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",3
PRESS: US High-Frequency Lawsuit Against Barclays Dismissed - Reuters,3
Shell CEO van Beurden's remuneration fell in 2015,2
"Aberdeen AM posts H1 outflows, says conditions to remain challenging",1
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",2
Shell seeks to remove Greenpeace activists from oil rig,2
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",2
Pearson Forecasts Rising Earnings as Reorganization Pays Off,3
Morrisons faces festive sales test,2
Aviva shuts Friends Life head office in rapid integration move,2
Tesco to pay Â£8m to settle class-action lawsuit after accounting scandal,1
UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,2
CompaniesRoyal Mail stake sale delivers Â£750m for taxpayer,2
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,2
Spain's Caixabank launches new takeover bid for Banco BPI,2
Former Aviva Investors analyst Mothahir Miah banned and fined Â£139000 by FCA ...,1
ARM shrugs off smartphone slowdown as newer designs win share,2
UPDATE 1-Petrofac posts net loss hurt by Shetland Islands project costs,1
Do it for me' trend underpins UK sales growth at Kingfisher,3
RBS invites pitches for broker role ahead of privatisation - sources,3
Bunzl delivers small profit increase for 2014,3
AB InBev Holds Talks With Regulators About California Deals,2
CompaniesMorrison evicted from FTSE 100 as Worldpay joins,1
Barclays denies deferred prosecution offer from SFO,2
LONDON MIDDAY BRIEFING: Kingfisher's French Expansion Hits The Rocks,1
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",2
Tesco chief excutive Dave Lewis sees 'encouraging signs' despite profits tumble,3
"EasyJet ""Sneakairs"": Airline is testing smart shoes to help customers explore destinations",2
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,3
SSE faces profiteering accusations despite 5.3% cut in gas charges,1
CompaniesRBS pulls a surprise: a 27% jump in profits,4
"Shell, Chevron Await LNG's Return From `Pause Mode'",2
Barclays settles with US investors over Libor manipulation,3
"Tesco says recovery on track, asks investors to be patient",2
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",2
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",0
National Grid profit up 15%; gas sale on track,3
AstraZeneca chases Acerta to secure next cancer drug winner,3
"Prudential capital ratio beats forecasts, confirms UK head",3
CompaniesEx-City watchdog Turner joins Prudential board,2
"Militants fire rockets at Algerian BP/Statoil gas plant, no casualties",1
BG Group Still Happy With Shell's $70 Billion Offer,3
CompaniesAstraZeneca wins nod for 'blockbuster' hopeful,3
Shell to Lay Off Another 2200 Staff,1
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,2
CompaniesDiageo stays neutral on India boardroom turmoil,2
Tesco to 'axe 10000 jobs' in 'simplification' drive to cut costs by 30 per cent,3
Barclays poised to replace Sir Mike Rake as he heads for exit,2
Tesco bans sugary drinks in â€œchildhood obesity driveâ€퀀,2
Tata Steel working with StanChart for UK unit sale - source,2
Sainsbury's share price: Grocer launches click-and-collect,2
AO World shares tumble on profit warning,0
Shell Targets Gains From Brazil to LNG With Takeover of BG Group,2
Glencore tells investors it is on track to reduce debt: Barclays,3
Whitbread boss Andy Harrison defends sales fall as 'just a blip',2
Borealis Infrastructure putting together new Severn Trent bid,3
AstraZeneca sells US drug rights to Perrigo for $380 mln,3
Aggreko 2015 Profit Declines - Quick Facts,1
Pearson lags as UK's FTSE slips off record high,1
RBS hands Â£3.3m of shares to top staff,2
Glencore sells agriculture stake for $2.5bn,3
Barclays says has spent $150 million on US 'living will',2
RBS share price: Group plans to slash 600 jobs,1
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,3
"Eurozone bank lending continues to recover, slowly, Barclays says",3
RBS breaks with past by tearing investment bank apart,2
Aberdeen Asset Management Gains Foothold In China,3
BP to pay investors $175m over Gulf spill claims,0
Persimmon sees post-election pick-up,3
Fewer multi-buys hurt Sainsbury's market share,1
Australia clears AB Inbev's $100 billion SABMiller buyout plan,3
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",3
AstraZeneca profit down as sales of stalwarts fade,1
Tesco Mobile Partners with Unlockd to Change the Way Consumers Use and Pay for Their Mobile Phones,3
Associated British Foods helps FTSE to rebound,3
Why Shell Cut Ties to Conservative Lobby Group Over Climate Change,2
Johnson Matthey sells research chemicals unit to Thermo Scientific,3
Tesco rebounds as buyers sense a bargain,3
"Valeant CEO Returns From Leave, Company Withdraws Guidance",2
AstraZeneca shares climb 3% as drug maker ups profits forecasts,4
"FastJet slams EasyJet founder Stelios for going public, is ""taking legal advice"" over letter about contractual ...",1
"Failure of leadership' behind Tesco troubles, says former CEO Leahy",1
British American Tobacco says would fight UK 'plain packaging' law,2
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",3
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,3
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",2
Persimmon reports strong trading despite EU vote and planning delays,3
NYSE owner ICE considers offer for LSE,2
CompaniesSanofi poaches immunology expert from AstraZeneca,2
Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,2
BP ends 27-year sponsorship of Tate as falling oil price takes toll,1
Royal Dutch Shell pulls plug on Arctic exploration,1
Horizonte acquires neighbouring Glencore nickel property in Brazil,3
"Standard Chartered, RBS Escape Capital Raising in Stress Test",3
FDA approves AstraZeneca drug for advanced lung cancer,3
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,2
"Water utility Severn Trent ups savings forecast, FY profit falls",2
Reed Elsevier shares cool after profit dip,1
BAE Systems lines up oil exec Woodburn as next CEO -source,2
Diageo share price: Group issues half-year update,2
CompaniesDiageo moves CFO to lead North American business,2
"RBS, Lloyds Most Exposed to Commercial Property, JPMorgan Says",2
Legal & General share price: Finance chief to step down,2
CompaniesLSE adds ex-SEC head Schapiro to board,2
"European shares fall on Chinese import data, SABMiller soars",3
"News FeedSchroders books solid earnings growth, several board changes",3
"Valeant, AstraZeneca strike psoriasis drug deal",3
Barclays considers acquisition to help split off retail arm,3
CFTC fines Barclays $560000 for inaccurate swaps position reports,0
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,2
Tesco turnaround gathers pace under new CEO,3
"Tesco, Asda sales fall as march of the discounters continues: Kantar",1
"METALS-Zinc soars 10 pct, fuelling metals surge after Glencore cuts output",3
BP cuts capex for third time this year to deal with weak oil,1
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,3
Sainsbury chief warns of squeeze on high street retailers,1
US sanctions put Gazprom-Shell alliance plans in jeopardy,1
UPDATE 6-Royal Dutch Shell pulls plug on Arctic exploration,1
AB InBev to Sell SABMiller Stake in China's Snow Beer,2
Persimmon share price climbs on 23% rise in full-year revenue,4
Royal Mail hands chief executive Moya Greene a 13% rise in her pay package,2
Travis Perkins to create 4000 jobs,3
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,1
Britain cuts Lloyds Banking Group stake to below 17 pct,1
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,3
BP Reports $583 Million Loss in First Quarter,0
"Britain's FTSE led lower by ITV, William Hill",0
Barclays set to name former JPMorgan banker Staley as new CEO,2
Friday Papers: Sir Philip Green sells BHS for Â£1,2
"Warren Buffett's Berkshire adds to favorites IBM, Wells Fargo",3
Spain's CaixaBank Expects To Close Deal For Banco BPI,3
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,3
Persimmon revenues lifted 12% by post-election confidence,3
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,2
US urges final approval of $20 billion BP oil spill pact,1
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,3
UPDATE 1-GSK-linked investigator freed early from China jail - source,3
"FTSE hits three-week low as financials, Tesco fall",0
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,1
Weir Group offloads two renewables units,2
Aggreko says first half profits will be lower as the oil price rout claims its latest victim,1
"Industry NewsRevenue, earnings take a tumble at Weir Group",0
"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",3
"Sharm el-Sheikh travel disruption: British Airways, EasyJet, Thomson and ...",1
London stock exchange shareholders vote on merger deal under Brexit cloud,1
"UPDATE: AstraZeneca's Selumetinib Gets Orphan Drug Label, Good AZD9291 ...",3
Intercontinental Exchange Opts Not to Bid for London Stock Exchange,2
Dave Lewis paid Â£4.1m for first 6 months at Tesco,2
Weir Group says first-half profits will be 'slightly ahead' of expectations,3
Glencore Sells $2.5 Billion Stake in Agriculture Unit,3
AstraZeneca : FDA Panel Reviews Savor Study Results For Onglyza ...,2
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,3
"Britain's FTSE hits three-week low as financials, Tesco fall",0
Trading ExpertBROKER RECOMMENDATIONSUBS ups RBS to 'buy' as it re-initiates coverage on UK banks,4
"3G Capital, Warren Buffett's Favorite Partner in Deals Worth Billions",3
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,1
GKN to buy Fokker Technologies for 706 mln euros,3
Questor share tip: Mondi shares jump 10pc on strong start,4
"Berkshire discloses unit's ties to Iran, opens probe",1
"Rio Tinto swings to loss, drops dividend policy",1
Rio Tinto Reaffirms Goal for Iron Ore Output,3
Shares in easyJet fall to three-year low after Brexit profit warning,0
Shire share price: Group releases full-year results,3
AstraZeneca share price: Company to carve out antibiotic R&D unit into separate ...,3
Ex-Barclays Trader Johnson Pleaded Guilty to Libor Fixing,1
SABMiller buys Meantime to quench thirst for craft beer,3
Standard Chartered to slash costs as profits plunge 25%,0
Buffett's Berkshire delivers 9.8% profit growth,4
"Rio Tinto CEO Sam Walsh rejects fears over China growth, demand",2
CompaniesShell sells stake in Showa Shell Sekiyu for $1.4bn,2
Reed Elsevier to rename itself RELX Group,2
Sotheby's chairman takes his final sale,2
Insight hires Aviva's David Hillier for multi-asset team,2
Shell offers 50 percent premium to buy BG for $70 billion,3
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,3
AB InBev to sell Peroni and Grolsch,3
Unilever posts weaker-than-expected fourth quarter,1
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,2
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,4
Entertainment One dispels ITV takeover rumours,2
NYSE owner ICE considers offer for LSE,3
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,3
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",3
"HSBC Preparing Job Cuts That May Target 20000 Workers, Sky Says",1
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",1
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",2
RBS bosses ordered to go out and meet small firms,2
AB InBev offers to sell some SABMiller brands,3
RPT-UK supermarkets braced for battle as Tesco comes out fighting,2
"UPDATE 1-Glencore flags sale of some Australia, Chile assets",2
Barclays says not been offered deferred prosecution deal by SFO,2
Aviva promises higher dividends to boost flagging share price,3
Brewer AB InBev seeks $275 bln tie-up with SABMiller,3
Intercontinental Exchange Opts Not to Bid for London Stock Exchange,1
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",1
HSBC Posts Surprise Fourth-Quarter Pretax Loss of $858 Million,0
Earnings surge as fund manager Schroders reports a record year,4
Eurocrat left best-placed to unravel London Stock Exchange deal,1
Lawmakers worry AB InBev beer deal will hurt craft brewers,2
StanLife leads FTSE after strong earnings,4
Lloyds Banking Group eyes return to dealmaking with MBNA bid,3
Anheuser-Busch InBev Increases Offer for Rival SABMiller,3
"UK government sells more Lloyds shares, cuts stake to below 12 percent",1
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,3
Tesco says UK store closures put 2000 jobs at risk,1
Tesco Versus Sainsbury: Weight-Watcher vs. Bodybuilder,3
"Buffett talks wind energy, Coca-Cola at Berkshire meeting",2
TSB boss: Current account switching must be simpler,2
Barclays CEO Staley Says Brexit Slump Caused by Profit Fears,1
Retailers Kingfisher and Sports Direct rise in Britain's share index,3
Berkshire Shareholders Pepper Warren Buffett With Some Hard Questions,2
"GLOBAL MARKETS-Stocks gain on Royal Dutch Shell bid, oil slumps",3
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,2
AstraZeneca says new lung cancer pill Tagrisso approved by EU,3
Two former Barclays traders face retrial over Libor,0
MarketsBP promotes upstream boss to deputy CEO,2
"Glencore swings to loss, will sell more assets",1
Shell to buy BG Group in $69.7 billion takeover,3
Clydesdale Bank hit with record PPI fine for 'unacceptable' staff lies,0
UK's FTSE climbs to record closing high as Standard Chartered surges,4
US judge rules that BP spill smaller than feared,2
Royal Mail Revenue Flat As Letters Weakness Offsets Parcels Strength,2
"AB InBev launches SAB bid, to sell MillerCoors stake",2
ARM Royalties Accelerate as Smartphone Market Regains Strength,3
Shell fined by Scottish court for 2011 North Sea oil spill,0
Glencore chief blames rivals' overproduction for share price fall,1
"Ackman, in email, says supports Valeant CEO Pearson",2
GlaxoSmithKline's CEO Witty to bow out in March 2017,2
Standard Life shuts Â£2.9bn property fund after investors rush to withdraw money post-Brexit,0
Shire CEO steps up drive to get Baxalta board talking,2
FTSE slide halted by BP's Â£12bn US settlement - London Report,1
Sainsbury's pressed to raise bid for Home Retail Group,2
"FDA approves NPS drug, in move validating Shire takeover deal",3
Sanofi poaches AstraZeneca scientist as new research head,2
CompaniesSanofi poaches immunology expert from AstraZeneca,2
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,2
"Broker tips: RBS, Croda, Sage",3
"Royal Mail, Johnson Matthey lead FTSE lower",1
Industry NewsWhitbread sales sink in fourth quarter on Costa slowdown,1
Diageo and Carlsberg hit as Russians suffer from oil price collapse and rouble ...,1
GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,1
Report: Financial Times up for sale,2
Glencore raises $2.5bn through share placing to help cut debt load,2
BP joins forces with Det Norske in Norway,3
No pay hikes this year at Rio Tinto as mining slump bites,1
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",0
Warren Buffett's Berkshire Hathaway buys stake in Apple,4
"Broker tips: RBS, Croda, Sage",3
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,3
FTSE steadies around 2-month low Diageo shares surge,3
